id_pleito,tipo_interessado,interessado,cod_ibge,uf,num_pvl,status,num_processo,data_protocolo,tipo_operacao,finalidade,tipo_credor,credor,moeda,valor,pvl_assoc_divida,pvl_contradado_credor,data_status
18495,Estado,Bahia,29,BA,,Deferido,19407.000035/2002-74,2002-06-26T00:00:00Z,Operação contratual interna,Preservação e recuperação ambiental,Instituição Financeira Nacional,Caixa Econômica Federal,Real,36887000.0,1,0,08/07/2002
18372,Estado,Bahia,29,BA,,Deferido,19407.000009/2005-99,2005-06-30T00:00:00Z,Operação contratual interna,Segurança pública,Instituição Financeira Nacional,Banco do Brasil S/A,Dólar dos EUA,16160501.26,1,0,26/07/2005
18527,Estado,Bahia,29,BA,,Deferido,19407.000043/2002-11,2002-06-21T00:00:00Z,Operação contratual interna,Saneamento básico,Instituição Financeira Nacional,Caixa Econômica Federal,Real,8626204.0,1,0,05/07/2002
22572,Estado,Bahia,29,BA,00000.000000/2032-81,Arquivado pela STN,17944.000644/2016-16,2016-09-08T00:00:00Z,Operação contratual externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Banco Europeu de Investimento,Dólar dos EUA,200000000.0,0,0,11/01/2019
23723,Estado,Bahia,29,BA,PVL02.000640/2016-75,Encaminhado à PGFN com manifestação técnica favorável,17944.001273/2016-90,2017-06-06T15:33:06Z,Operação contratual interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,600000000.0,1,1,12/06/2017
19016,Estado,Bahia,29,BA,00000.000000/2009-87,Encaminhado à PGFN com manifestação técnica favorável,17944.000485/2015-79,2015-11-03T00:00:00Z,Operação contratual interna (com garantia da União),Aditivo contratual,Instituição Financeira Nacional,Banco do Brasil S/A,Real,562740000.0,1,0,09/11/2015
18531,Estado,Bahia,29,BA,,Deferido,19407.000044/2002-65,2002-06-11T00:00:00Z,Operação contratual interna,Saneamento básico,Instituição Financeira Nacional,Caixa Econômica Federal,Real,7360876.68,1,0,05/07/2002
20438,Estado,Bahia,29,BA,00000.000000/2017-83,Deferido,17944.001076/2015-90,2016-03-02T15:35:28Z,Operação contratual interna,Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,800000000.0,1,0,31/03/2016
18591,Estado,Bahia,29,BA,,Deferido,19407.000059/2002-23,2002-06-21T00:00:00Z,Operação contratual interna,Saneamento básico,Instituição Financeira Nacional,Caixa Econômica Federal,Real,6779155.0,1,0,03/07/2002
18589,Estado,Bahia,29,BA,,Deferido,19407.000058/2004-41,2005-11-11T00:00:00Z,Operação contratual interna,Multissetorial,Instituição Financeira Nacional,Banco do Nordeste do Brasil S/A,Dólar dos EUA,14000000.0,1,0,08/12/2005
